Disease,Description,Precautions,Medications,Diet,Workout
Chicken pox,Chicken pox is a highly contagious viral infection causing an itchy rash.,"use neem in bathing , consume neem leaves, take vaccine, avoid public places","Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions'","Chicken Pox Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods'","Stay hydrated, Include easily digestible foods, Include vitamin C-rich foods, Consume protein-rich foods, Include zinc-rich foods, Avoid spicy and acidic foods, Consult a healthcare professional, Practice good hygiene, Rest and conserve energy, Gradually resume normal diet"
Hepatitis A,Hepatitis A is a viral liver disease.,"Consult nearest hospital, wash hands through, avoid fatty spicy food, medication","Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant'","Hepatitis A Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods'","Stay hydrated, Consume nutrient-rich foods, Include protein-rich foods, Consume easily digestible foods, Limit fatty foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet"
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise","Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics'","Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice'","Consume smaller meals, Avoid trigger foods (spicy, fatty), Eat high-fiber foods, Limit caffeine and alcohol, Chew food thoroughly, Avoid late-night eating, Consume non-citrus fruits, Include lean proteins, Stay hydrated, Avoid carbonated beverages"
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","drink plenty of water, consume milk thistle, eat fruits and high fiberous food, medication","IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications'","Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins'","Stay hydrated, Consume nutrient-rich foods, Include protein-rich foods, Consume easily digestible foods, Limit fatty foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet"
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,"massage, eat healthy, exercise, consult doctor","Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy'","Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins'","Follow a balanced and nutritious diet, Include lean proteins, Consume nutrient-rich foods, Stay hydrated, Include healthy fats, Limit sugary foods and beverages, Include antioxidants, Consume foods rich in vitamin K, Consult a healthcare professional, Manage stress"
Impetigo,Impetigo is a highly contagious skin infection causing red sores that can break open.,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor","Topical antibiotics', 'Oral antibiotics', 'Antiseptics', 'Ointments', 'Warm compresses'","Impetigo Diet', 'Antibiotic treatment', 'Fruits and vegetables', 'Hydration', 'Protein-rich foods'","Maintain good hygiene, Stay hydrated, Consume nutrient-rich foods, Limit sugary foods and beverages, Include foods rich in vitamin C, Consult a healthcare professional, Follow medical recommendations, Avoid scratching, Take prescribed antibiotics, Practice wound care"
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,"switch to loose cloothing, take deep breaths, get away from trigger, seek help","Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics'","Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins'","Include anti-inflammatory foods, Consume omega-3 fatty acids, Limit sodium intake, Stay hydrated, Include antioxidant-rich foods, Avoid sulfite-containing foods, Limit processed foods, Consume magnesium-rich foods, Consult a healthcare professional, Avoid trigger foods"
Acne,Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products","Antibiotics', 'Pain relievers', 'Antihistamines', 'Corticosteroids', 'Topical treatments'","Acne Diet', 'Low-Glycemic Diet', 'Hydration', 'Fruits and vegetables', 'Probiotics'","Consume a balanced diet, Limit dairy and high-glycemic foods, Include antioxidants, Stay hydrated, Limit processed foods, Include zinc-rich foods, Consult a skincare professional, Practice good skincare hygiene, Limit sugary foods and beverages, Follow medical recommendations"
Dengue,Dengue is a mosquito-borne viral infection causing flu-like symptoms.,"drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated","Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids'","Dengue Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Protein-rich foods'","Stay hydrated, Include nutrient-rich foods, Consume foods rich in vitamin C and antioxidants, Limit fatty and greasy foods, Avoid caffeine and alcohol, Include soft and easily digestible foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet, Follow medical recommendations"
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,"consult doctor, medication, eat healthy, follow up","Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant'","Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods'","Follow a balanced and nutritious diet, Stay hydrated, Include protein-rich foods, Consume nutrient-rich foods, Limit fatty foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet"
Hyperthyroidism,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.,"eat healthy, massage, use lemon balm, take radioactive iodine treatment","Glucose tablets', 'Candy or juice', 'Glucagon injection', 'IV dextrose', 'Diazoxide'","Hyperthyroidism Diet', 'Low-Iodine Diet', 'Calcium-rich foods', 'Selenium-rich foods', 'Fruits and vegetables'","Limit iodine intake, Consume cruciferous vegetables in moderation, Stay hydrated, Include nutrient-rich foods, Limit caffeine and alcohol, Include omega-3 fatty acids, Consult a healthcare professional, Follow medical recommendations, Maintain a stable weight, Engage in regular exercise"
Allergy,Allergy is an immune system reaction to a substance in the environment.,"apply calamine, cover area with bandage, use ice to compress itching","Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy'","Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics'","Avoid allergenic foods, Consume anti-inflammatory foods, Include omega-3 fatty acids, Stay hydrated, Eat foods rich in vitamin C, Include quercetin-rich foods, Consume local honey, Limit processed foods, Include ginger in diet, Avoid artificial additives"
Psoriasis,"Psoriasis is a chronic skin condition characterized by red, itchy, and scaly patches.","wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths","Topical treatments', 'Phototherapy', 'Systemic medications', 'Biologics', 'Coal tar'","Psoriasis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains'","Consume anti-inflammatory foods, Include omega-3 fatty acids, Include vitamin D analogues, Limit alcohol consumption, Stay hydrated, Consult a healthcare professional, Limit processed foods, Follow medical recommendations, Manage stress, Consider phototherapy under medical guidance"
Common Cold,Common Cold is a viral infection of the upper respiratory tract.,"drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check","Antibiotics', 'Antiviral drugs', 'Antifungal drugs', 'IV fluids', 'Oxygen therapy'","Cold Diet', 'Hydration', 'Warm fluids', 'Rest', 'Honey and lemon tea'","Stay hydrated, Include nutrient-rich foods, Consume foods rich in vitamin C and antioxidants, Include zinc-rich foods, Limit sugary foods and beverages, Consume chicken soup, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet, Follow medical recommendations"
(vertigo) Paroxysmal Positional Vertigo,(Vertigo) Paroxysmal Positional Vertigo is a type of dizziness caused by specific head movements.,"lie down, avoid sudden change in body, avoid abrupt head movment, relax","Topical treatments', 'Antibiotics', 'Oral medications', 'Hormonal treatments', 'Isotretinoin'","Vertigo Diet', 'Low-Salt Diet', 'Hydration', 'Ginger tea', 'Vitamin D-rich foods'","Avoid trigger foods (caffeine, alcohol), Limit sodium intake, Stay hydrated, Consume ginger and ginkgo biloba, Limit artificial sweeteners, Consult a healthcare professional, Avoid sudden head movements, Follow medical recommendations, Manage stress, Limit caffeine and stimulants"
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.,"lie down on side, check in pulse, drink sugary drinks, consult doctor","Pain relievers', 'Exercise', 'Hot and cold packs', 'Joint protection', 'Physical therapy'","Hypoglycemia Diet', 'Complex carbohydrates', 'Protein-rich snacks', 'Fiber-rich foods', 'Healthy fats'","Consume complex carbohydrates, Include protein-rich foods, Stay hydrated, Limit sugary foods and beverages, Consume regular meals and snacks, Consult a healthcare professional, Monitor blood sugar levels, Follow medical recommendations, Engage in regular physical activity, Limit alcohol intake"
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,"stop alcohol consumption, consult doctor, medication, follow up","Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide'","Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins'","Avoid alcohol consumption, Follow a balanced and nutritious diet, Stay hydrated, Consume nutrient-rich foods, Include protein-rich foods, Limit fatty foods, Include antioxidants, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet"
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,"stop alcohol consumption, rest, consult doctor, medication","Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support'","Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods'","Stay hydrated, Consume nutrient-rich foods, Include protein-rich foods, Consume easily digestible foods, Limit fatty foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet"
Urinary tract infection,Urinary tract infection is an infection in any part of the urinary system.,"drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics","Antibiotics', 'Urinary analgesics', 'Phenazopyridine', 'Antispasmodics', 'Probiotics'","UTI Diet', 'Hydration', 'Cranberry juice', 'Probiotics', 'Vitamin C-rich foods'","Stay hydrated, Consume cranberry products, Include vitamin C-rich foods, Limit caffeine and alcohol, Consume probiotics, Avoid spicy and acidic foods, Consult a healthcare professional, Follow medical recommendations, Maintain good hygiene, Limit sugary foods and beverages"
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,"meditation, reduce stress, use poloroid glasses in sun, consult doctor","Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback'","Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods'","Identify and avoid trigger foods, Stay hydrated, Include magnesium-rich foods, Consume omega-3 fatty acids, Limit caffeine and alcohol, Consume riboflavin-rich foods, Limit processed foods, Maintain regular meal times, Consult a healthcare professional, Manage stress"
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,"cover mouth, consult doctor, medication, rest","Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers'","TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods'","Consume a high-protein diet, Include nutrient-rich foods, Stay hydrated, Consume foods rich in vitamins A and C, Include zinc-rich foods, Limit sugary foods and beverages, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet, Follow medical recommendations"
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths","Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole'","Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric'","Avoid sugary foods, Consume probiotics, Increase intake of garlic, Include yogurt in diet, Limit processed foods, Stay hydrated, Consume green tea, Eat foods rich in zinc, Include turmeric in diet, Eat fruits and vegetables"
Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol","Antibiotics', 'Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Cytoprotective agents'","Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice'","Consume smaller, more frequent meals, Avoid trigger foods (spicy, acidic), Include high-fiber foods, Limit caffeine and alcohol, Stay hydrated, Consume probiotics, Include lean proteins, Include antioxidant-rich foods, Limit processed foods, Avoid smoking and alcohol"
Pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs.,"consult doctor, medication, rest, follow up","Laxatives', 'Pain relievers', 'Warm baths', 'Cold compresses', 'High-fiber diet'","Pneumonia Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods'","Stay hydrated, Include nutrient-rich foods, Consume foods rich in vitamin C and antioxidants, Include zinc-rich foods, Limit sugary foods and beverages, Consume chicken soup, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet, Follow medical recommendations"
Osteoarthritis,Osteoarthritis is a degenerative joint disease that affects the cartilage in joints.,"acetaminophen, consult nearest hospital, follow up, salt baths","NSAIDs', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologics', 'Corticosteroids', 'Joint replacement surgery'","Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains'","Consume anti-inflammatory foods, Include omega-3 fatty acids, Consume antioxidant-rich foods, Stay hydrated, Limit processed foods, Include vitamin K-rich foods, Consult a healthcare professional, Follow medical recommendations, Engage in low-impact exercise, Maintain a healthy weight"
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness.","exercise, use hot and cold therapy, try acupuncture, massage","Vestibular rehabilitation', 'Canalith repositioning', 'Medications for nausea', 'Surgery', 'Home exercises'","Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains'","Consume anti-inflammatory foods, Include omega-3 fatty acids, Consume antioxidant-rich foods, Stay hydrated, Limit processed foods, Include vitamin K-rich foods, Consult a healthcare professional, Follow medical recommendations, Engage in low-impact exercise, Maintain a healthy weight"
Dimorphic hemorrhoids(piles),Dimorphic hemorrhoids(piles) is a condition characterized by swollen blood vessels in the rectum.,"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice","Nitroglycerin', 'Aspirin', 'Beta-blockers', 'Calcium channel blockers', 'Thrombolytic drugs'","Hemorrhoids Diet', 'High-Fiber Diet', 'Hydration', 'Warm baths', 'Stool softeners'","Consume high-fiber foods, Stay hydrated, Include nutrient-rich foods, Consume foods rich in flavonoids, Limit processed foods, Avoid spicy and greasy foods, Consult a healthcare professional, Practice good hygiene, Gradually resume normal diet, Follow medical recommendations"
Varicose veins,"Varicose veins are enlarged, twisted veins that usually appear on the legs.","lie down flat and raise the leg high, use oinments, use vein compression, dont stand still for long","Levothyroxine', 'Antithyroid medications', 'Beta-blockers', 'Radioactive iodine', 'Thyroid surgery'","Varicose Veins Diet', 'High-Fiber Diet', 'Fruits and vegetables', 'Whole grains', 'Low-sodium foods'","Consume a high-fiber diet, Stay hydrated, Include nutrient-rich foods, Consume foods rich in antioxidants, Limit sodium intake, Include flavonoid-rich foods, Avoid standing or sitting for long periods, Consult a healthcare professional, Follow medical recommendations, Engage in regular exercise"
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"cold baths, anti itch medicine, consult doctor, eat healthy","Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant'","Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables'","Consume a low-fat diet, Eat high-fiber foods, Include healthy fats, Limit alcohol consumption, Stay hydrated, Consume antioxidant-rich foods, Include omega-3 fatty acids, Include lean proteins, Limit processed foods, Avoid fried foods"
